"UF","id","Name","Ps","Pi","Pr","Pt","Lon","Lat"
"BA","2910750","Fátima","18461","0","0","18461","-38.217","-10.6"
"BA","2910776","Feira da Mata","5918","0","0","5918","-44.281","-14.207"
"BA","2910800","Feira de Santana","622586","53","0","622639","-38.967","-12.267"
"BA","2910859","Filadélfia","17184","0","0","17184","-40.133","-10.741"
"BA","2910909","Firmino Alves","5804","0","0","5804","-39.924","-14.985"
"BA","2911006","Floresta Azul","11278","1","0","11279","-39.66","-14.86"
"BA","2911105","Formosa do Rio Preto","25652","0","0","25652","-45.193","-11.048"
"BA","2911204","Gandu","33029","1","0","33030","-39.487","-13.744"
"BA","2911253","Gavião","4740","0","0","4740","-39.784","-11.471"
"BA","2911303","Gentio do Ouro","11603","0","0","11603","-42.506","-11.429"
"BA","2911402","Glória","15810","0","0","15810","-38.257","-9.339"
"BA","2911501","Gongogi","7960","1","0","7961","-39.465","-14.322"
"BA","2911600","Governador Mangabeira","21435","0","0","21435","-39.043","-12.602"
"BA","2911659","Guajeru","8322","0","0","8322","-41.94","-14.547"
"BA","2911709","Guanambi","86320","0","0","86320","-42.781","-14.223"
"BA","2911808","Guaratinga","22251","0","0","22251","-39.783","-16.584"
"BA","2911857","Heliópolis","13739","0","0","13739","-38.286","-10.683"
"BA","2911907","Iaçu","26012","0","0","26012","-40.212","-12.767"
"BA","2912004","Ibiassucê","10337","0","0","10337","-42.257","-14.259"
"BA","2912103","Ibicaraí","23770","0","0","23770","-39.588","-14.865"
"BA","2912202","Ibicoara","19578","0","0","19578","-41.285","-13.411"
"BA","2912301","Ibicuí","16748","0","0","16748","-39.987","-14.842"
"BA","2912400","Ibipeba","18563","0","0","18563","-42.011","-11.641"
"BA","2912509","Ibipitanga","15356","0","0","15356","-42.486","-12.882"
"BA","2912608","Ibiquera","4207","0","0","4207","-40.934","-12.651"
"BA","2912707","Ibirapitanga","24238","0","0","24238","-39.374","-14.164"
"BA","2912806","Ibirapuã","8796","0","0","8796","-40.109","-17.688"
"BA","2912905","Ibirataia","17570","3","0","17573","-39.641","-14.067"
"BA","2913002","Ibitiara","16779","0","0","16779","-42.218","-12.652"
"BA","2913101","Ibititá","17957","0","0","17957","-41.978","-11.547"
"BA","2913200","Ibotirama","27761","1","0","27762","-43.221","-12.185"
"BA","2913309","Ichu","6418","0","0","6418","-39.192","-11.749"
"BA","2913408","Igaporã","16255","0","0","16255","-42.714","-13.773"
"BA","2913457","Igrapiúna","14288","0","0","14288","-39.142","-13.826"
"BA","2913507","Iguaí","27865","0","0","27865","-40.089","-14.756"
"BA","2913606","Ilhéus","178163","47","0","178210","-39.049","-14.789"
"BA","2913705","Inhambupe","40908","0","0","40908","-38.353","-11.784"
"BA","2913804","Ipecaetá","15596","0","0","15596","-39.308","-12.3"
"BA","2913903","Ipiaú","47594","12","0","47606","-39.734","-14.137"
"BA","2914000","Ipirá","62697","0","0","62697","-39.737","-12.158"
"BA","2914109","Ipupiara","10107","0","0","10107","-42.614","-11.82"
"BA","2914208","Irajuba","7497","0","0","7497","-40.084","-13.251"
"BA","2914307","Iramaia","10184","0","0","10184","-40.951","-13.286"
"BA","2914406","Iraquara","25279","0","0","25279","-41.619","-12.249"
"BA","2914505","Irará","29723","0","0","29723","-38.767","-12.05"
"BA","2914604","Irecê","73915","0","0","73915","-41.856","-11.304"
"BA","2914653","Itabela","31244","0","0","31244","-39.553","-16.575"
"BA","2914703","Itaberaba","66592","0","0","66592","-40.307","-12.528"
"BA","2914802","Itabuna","220358","28","0","220386","-39.28","-14.786"
"BA","2914901","Itacaré","28013","0","0","28013","-38.997","-14.278"
